T(n),n,n^2,n^3,T(n)/n,T(n)/n^2,T(n)/n^3
7045529600,17700,313290000,2147483647,398052,22.48884293,0.001270556
7170060000,17800,316840000,2147483647,402812,22.62990784,0.001271343
7261820099,17900,320410000,2147483647,405688,22.66414937,0.001266154
7735494900,18000,324000000,2147483647,429749,23.87498426,0.001326388
7515245500,18100,327610000,2147483647,415206,22.9396096,0.001267382
7914571200,18200,331240000,2147483647,434866,23.89376645,0.001312844
7976343400,18300,334890000,2147483647,435865,23.81780107,0.001301519
8162581699,18400,338560000,2147483647,443618,24.10970492,0.00131031
8297886500,18500,342250000,2147483647,448534,24.24510299,0.001310546
8642952600,18600,345960000,2147483647,464674,24.98251994,0.001343146
8823517400,18700,349690000,2147483647,471845,25.23239841,0.001349326
8834470700,18800,353440000,2147483647,469918,24.9956731,0.001329557
8986693100,18900,357210000,2147483647,475486,25.15801097,0.001331112
9890205001,19000,361000000,2147483647,520537,27.39668975,0.001441931
9600039800,19100,364810000,2147483647,502619,26.31517722,0.001377758
9841257599,19200,368640000,2147483647,512565,26.69611979,0.001390423
9862949900,19300,372490000,2147483647,511033,26.47842868,0.001371939
9919049700,19400,376360000,2147483647,511291,26.35521761,0.001358516
10229795200,19500,380250000,2147483647,524604,26.90281446,0.001379632
10161953200,19600,384160000,2147483647,518467,26.45239796,0.001349612
10609812300,19700,388090000,2147483647,538569,27.33853565,0.001387743
10823148801,19800,392040000,2147483647,546623,27.6072564,0.001394306
11021861800,19900,396010000,2147483647,553862,27.83228151,0.001398607
11169778400,20000,400000000,2147483647,558488,27.924446,0.001396222
11345177100,20100,404010000,2147483647,564436,28.08142645,0.001397086
11875206100,20200,408040000,2147483647,587881,29.10304406,0.001440745
11888324600,20300,412090000,2147483647,585631,28.84885486,0.001421126
12244880000,20400,416160000,2147483647,600239,29.42349097,0.001442328
12620835800,20500,420250000,2147483647,615650,30.03173302,0.001464963
12381863100,20600,424360000,2147483647,601061,29.17773376,0.001416395
12663114700,20700,428490000,2147483647,611744,29.55288268,0.001427675
12917644400,20800,432640000,2147483647,621040,29.85772097,0.001435467
13247175300,20900,436810000,2147483647,633836,30.32708798,0.001451057
13411408600,21000,441000000,2147483647,638638,30.41135737,0.00144816
13597327900,21100,445210000,2147483647,644423,30.54138025,0.001447459
13749441700,21200,449440000,2147483647,648558,30.59238541,0.001443037
14134372900,21300,453690000,2147483647,663585,31.15425268,0.001462641
14511831900,21400,457960000,2147483647,678122,31.68799,0.001480747
14657502600,21500,462250000,2147483647,681744,31.70903753,0.001474839
14950686400,21600,466560000,2147483647,692161,32.0445096,0.001483542
14835064900,21700,470890000,2147483647,683643,31.50431077,0.001451812
15400651100,21800,475240000,2147483647,706451,32.40604979,0.001486516
15578300000,21900,479610000,2147483647,711337,32.48118263,0.001483159
15874143300,22000,484000000,2147483647,721551,32.79781674,0.00149081
15827270000,22100,488410000,2147483647,716166,32.40570422,0.001466321
16211770000,22200,492840000,2147483647,730259,32.89459054,0.001481738
16536689500,22300,497290000,2147483647,741555,33.25361359,0.001491193
16801852400,22400,501760000,2147483647,750082,33.48583466,0.001494903
16991444300,22500,506250000,2147483647,755175,33.56334677,0.001491704
17107330400,22600,510760000,2147483647,756961,33.49387266,0.00148203
17306753400,22700,515290000,2147483647,762412,33.58643366,0.001479579
17678114600,22800,519840000,2147483647,775355,34.00683787,0.001491528
17863435000,22900,524410000,2147483647,780062,34.06387178,0.001487505
18455375100,23000,529000000,2147483647,802407,34.88728752,0.001516839
18319672500,23100,533610000,2147483647,793059,34.33157643,0.001486215
18580817900,23200,538240000,2147483647,800897,34.52143635,0.001487993
18824727100,23300,542890000,2147483647,807928,34.67503012,0.001488199
18950889700,23400,547560000,2147483647,809867,34.60970432,0.001479047
19243928000,23500,552250000,2147483647,818890,34.84640652,0.001482826
19510032200,23600,556960000,2147483647,826696,35.02950338,0.001484301
19727535900,23700,561690000,2147483647,832385,35.12175025,0.00148193
20128895600,23800,566440000,2147483647,845751,35.53579479,0.001493101
20325113300,23900,571210000,2147483647,850423,35.5825586,0.00148881
21038371700,24000,576000000,2147483647,876598,36.52495087,0.001521873
20801405300,24100,580810000,2147483647,863128,35.81447513,0.001486078
21335865700,24200,585640000,2147483647,881647,36.43170839,0.001505442
21514226300,24300,590490000,2147483647,885359,36.43453115,0.001499363
21639937400,24400,595360000,2147483647,886882,36.34765083,0.001489658
22059548100,24500,600250000,2147483647,900389,36.75060075,0.001500025
22094902600,24600,605160000,2147483647,898166,36.5108444,0.001484181
22506691900,24700,610090000,2147483647,911202,36.89077333,0.001493554
22599118000,24800,615040000,2147483647,911254,36.74414347,0.001481619
22773275000,24900,620010000,2147483647,914589,36.73049628,0.00147512
23233392700,25000,625000000,2147483647,929335,37.17342832,0.001486937
,,,,,,
1.37069E+12,,,,,,
